Party Name,Number of Diamonds,First Color of Diamond,Second Color of Diamond,Third Color of Diamond,Shape,Quantity,Date,Choice,Type
Aditi Ornaments,1,White,Purple,Ruby,Marquise,6,2024-09-18,yes,plain
RakeshBhai,5,Blue,Pink,Pink,Club,6,2024-11-25,yes,plain
Aditi Ornaments,6,Green,Purple,Ruby,Club,10,2024-08-18,yes,plain
Aditi Ornaments,1,Ruby,Green,Pink,Oval,2,2024-02-08,yes,micro
RakeshBhai,5,Purple,Blue,Pink,Hexagon,2,2024-04-08,yes,plain
Aditi Ornaments,7,Blue,Blue,Green,Hexagon,14,2023-06-17,yes,micro
AshishBhai,5,Green,Purple,White,Square,10,2024-06-15,yes,plain
Shiv VipulBhai,5,Blue,White,Purple,Hexagon,26,2023-06-10,yes,plain
SanjayBhai,2,Purple,Green,Green,Oval,10,2023-11-01,yes,plain
AshishBhai,5,Blue,White,White,Star,6,2024-07-22,yes,plain
Shiv VipulBhai,4,Green,Pink,Pink,Star,18,2024-02-18,yes,plain
Aditi Ornaments,1,Green,Blue,White,Marquise,26,2023-09-25,yes,micro
Shiv VipulBhai,8,Green,Purple,Purple,Flower,18,2024-12-29,yes,micro
RakeshBhai,6,Pink,Pink,Green,Star,26,2024-10-04,yes,micro
RakeshBhai,4,Green,Green,Blue,Star,26,2024-07-07,no,plain
Shiv VipulBhai,3,Ruby,Green,Pink,Star,2,2023-08-03,yes,micro
VirajBhai,1,Pink,Pink,Purple,Round,22,2023-07-21,yes,micro
Aditi Ornaments,4,Purple,Pink,Blue,Hexagon,2,2024-05-04,yes,micro
RakeshBhai,4,Green,White,Green,Square,2,2023-10-16,yes,micro
MRP MukeshBhai,2,Purple,Purple,Ruby,Oval,14,2024-08-15,yes,micro
Shiv VipulBhai,3,Green,Purple,Pink,Diamond,22,2023-03-22,yes,plain
RakeshBhai,4,Purple,Purple,Pink,Square,26,2024-09-27,yes,plain
MRP MukeshBhai,3,Purple,Pink,Blue,Star,14,2025-02-13,no,plain
Aditi Ornaments,6,White,Purple,Green,Club,2,2024-03-13,no,micro
MRP MukeshBhai,4,White,Pink,Pink,Diamond,22,2024-07-09,no,plain
RakeshBhai,5,Green,Purple,Purple,Star,18,2023-07-06,yes,micro
VirajBhai,8,White,Ruby,Green,Star,10,2025-01-30,yes,plain
MRP MukeshBhai,4,Blue,Blue,Pink,Flower,10,2024-06-27,yes,micro
Shiv VipulBhai,1,Purple,Green,White,Oval,18,2023-06-25,yes,micro
Shiv VipulBhai,3,White,Ruby,Blue,Flower,6,2024-12-27,yes,plain
SanjayBhai,4,Ruby,White,Blue,Star,26,2023-12-14,yes,plain
Shiv VipulBhai,2,Blue,Pink,Purple,Diamond,2,2024-10-31,no,plain
MRP MukeshBhai,3,White,Blue,Purple,Round,18,2024-06-29,yes,micro
VirajBhai,3,Blue,Green,White,Marquise,18,2023-04-05,yes,plain
Shiv VipulBhai,2,Purple,Blue,Ruby,Marquise,6,2023-05-04,no,plain
Shiv VipulBhai,5,Blue,Blue,Green,Flower,2,2023-07-31,yes,plain
Aditi Ornaments,4,Pink,Ruby,Pink,Square,26,2023-03-19,yes,plain
SanjayBhai,6,Blue,Green,Ruby,Square,14,2024-10-21,yes,plain
Aditi Ornaments,1,Blue,White,Purple,Marquise,10,2023-07-29,yes,micro
AshishBhai,6,Green,Pink,Purple,Diamond,10,2023-03-30,yes,micro
RakeshBhai,1,White,White,Green,Marquise,22,2024-01-06,yes,micro
SanjayBhai,4,Purple,Green,Purple,Heart,2,2023-03-24,yes,plain
SanjayBhai,3,Blue,White,Green,Club,6,2023-07-11,no,plain
Shiv VipulBhai,1,Blue,Ruby,White,Round,6,2023-12-06,no,micro
VirajBhai,7,Purple,Ruby,White,Hexagon,10,2024-09-23,yes,plain
Shiv VipulBhai,7,White,Blue,Purple,Star,2,2023-03-22,yes,micro
Shiv VipulBhai,3,Ruby,Purple,White,Marquise,6,2023-07-05,no,plain
AshishBhai,8,Pink,Pink,Pink,Flower,18,2023-08-07,yes,plain
Shiv VipulBhai,1,Ruby,Blue,Blue,Oval,18,2024-09-24,no,micro
AshishBhai,8,Purple,White,Green,Flower,6,2023-09-27,yes,plain
VirajBhai,7,Blue,Ruby,Blue,Flower,6,2024-11-26,yes,micro
Aditi Ornaments,1,White,Blue,Green,Oval,26,2024-02-15,yes,plain
Shiv VipulBhai,8,White,White,White,Flower,2,2025-01-26,no,micro
AshishBhai,6,Green,White,Green,Diamond,22,2024-12-02,yes,plain
AshishBhai,5,Pink,White,White,Flower,14,2023-03-28,yes,micro
RakeshBhai,6,Purple,Pink,Blue,Hexagon,26,2023-06-25,yes,plain
RakeshBhai,6,Blue,Pink,Ruby,Square,18,2023-07-12,yes,plain
SanjayBhai,3,Ruby,Purple,Ruby,Oval,22,2023-12-05,yes,micro
SanjayBhai,8,Green,White,Green,Star,26,2025-01-22,yes,micro
VirajBhai,2,White,Pink,Green,Marquise,26,2024-04-18,yes,micro
RakeshBhai,2,Pink,Blue,Ruby,Club,18,2024-03-23,yes,micro
Aditi Ornaments,3,Blue,Pink,Purple,Heart,10,2024-04-21,yes,micro
VirajBhai,4,Blue,Green,Purple,Diamond,6,2025-01-13,yes,micro
MRP MukeshBhai,2,Pink,Ruby,Purple,Square,18,2024-05-12,yes,plain
MRP MukeshBhai,1,Pink,Ruby,Pink,Oval,18,2024-05-27,no,plain
RakeshBhai,6,Ruby,Purple,Green,Diamond,26,2023-06-30,no,micro
Aditi Ornaments,6,Pink,Green,Ruby,Heart,14,2024-11-26,yes,plain
Shiv VipulBhai,4,Purple,Green,Ruby,Flower,6,2024-11-21,yes,micro
AshishBhai,5,Ruby,Pink,White,Heart,18,2023-04-27,yes,micro
Shiv VipulBhai,8,Ruby,Blue,Ruby,Star,6,2023-04-03,yes,micro
VirajBhai,1,Purple,Green,Purple,Marquise,14,2023-09-22,yes,plain
MRP MukeshBhai,3,Green,Purple,White,Club,2,2024-06-12,yes,micro
RakeshBhai,2,Ruby,Ruby,Blue,Oval,2,2025-02-28,yes,plain
SanjayBhai,3,Purple,Blue,Purple,Club,18,2023-10-28,yes,plain
AshishBhai,3,Pink,Pink,Pink,Heart,6,2025-01-17,yes,plain
AshishBhai,7,Ruby,Ruby,Purple,Star,22,2024-05-04,yes,plain
SanjayBhai,2,Blue,White,Pink,Heart,6,2023-07-26,yes,plain
RakeshBhai,6,White,Blue,Pink,Star,10,2024-04-07,yes,micro
VirajBhai,6,Ruby,Pink,Green,Flower,2,2023-07-25,yes,plain
Shiv VipulBhai,6,White,Purple,Blue,Club,6,2024-02-06,yes,plain
SanjayBhai,8,Purple,Pink,Pink,Flower,26,2023-12-02,yes,micro
AshishBhai,2,White,White,White,Round,10,2023-06-09,no,plain
VirajBhai,1,Green,Ruby,White,Oval,2,2024-11-21,yes,plain
RakeshBhai,2,Green,Green,Pink,Round,6,2025-02-12,yes,plain
Shiv VipulBhai,7,Purple,Purple,White,Flower,2,2024-02-19,no,plain
RakeshBhai,3,Pink,Pink,Green,Round,18,2025-02-24,yes,micro
SanjayBhai,3,White,White,Ruby,Square,26,2024-01-15,yes,plain
AshishBhai,3,Blue,Blue,Blue,Marquise,6,2023-11-29,yes,plain
Shiv VipulBhai,4,Ruby,Blue,Purple,Flower,26,2023-12-30,yes,plain
Shiv VipulBhai,4,Green,Pink,Ruby,Heart,14,2025-01-12,yes,micro
VirajBhai,2,Purple,Green,Blue,Club,2,2024-12-04,yes,micro
Aditi Ornaments,3,White,White,Ruby,Heart,10,2024-11-23,yes,micro
VirajBhai,5,Blue,Ruby,Green,Flower,14,2023-05-13,yes,plain
MRP MukeshBhai,3,Ruby,Green,Ruby,Marquise,26,2024-11-23,yes,micro
RakeshBhai,8,Blue,Ruby,Ruby,Flower,18,2024-03-27,yes,micro
MRP MukeshBhai,5,White,Pink,Purple,Flower,14,2023-08-13,yes,micro
MRP MukeshBhai,3,Blue,Purple,Blue,Hexagon,10,2024-10-11,yes,plain
Aditi Ornaments,7,White,White,Ruby,Hexagon,22,2024-11-15,yes,micro
VirajBhai,8,Ruby,White,Blue,Flower,26,2024-05-01,yes,micro
Aditi Ornaments,4,Pink,Ruby,Ruby,Flower,6,2024-04-30,yes,micro
Shiv VipulBhai,2,Ruby,White,Pink,Oval,26,2023-12-22,yes,micro
VirajBhai,5,Purple,White,Green,Heart,6,2024-03-18,yes,plain
RakeshBhai,4,Green,Ruby,Purple,Square,22,2023-12-11,yes,plain
Aditi Ornaments,2,Green,Pink,Green,Oval,18,2023-06-10,yes,micro
MRP MukeshBhai,3,Ruby,Pink,Pink,Star,10,2024-06-30,yes,plain
SanjayBhai,5,Blue,Pink,Ruby,Heart,6,2024-10-15,yes,micro
MRP MukeshBhai,6,Blue,Pink,Purple,Heart,6,2023-05-17,yes,plain
Shiv VipulBhai,4,Blue,Purple,Purple,Star,22,2024-02-01,no,plain
SanjayBhai,3,Blue,Blue,Blue,Star,14,2023-08-18,yes,plain
MRP MukeshBhai,8,Purple,Ruby,Ruby,Flower,22,2024-05-25,no,micro
Shiv VipulBhai,5,Green,Pink,Green,Heart,2,2024-08-29,yes,micro
SanjayBhai,2,Ruby,Pink,Blue,Heart,26,2024-11-20,yes,plain
VirajBhai,3,Ruby,Blue,Blue,Flower,6,2024-08-16,yes,micro
SanjayBhai,7,Blue,Blue,White,Star,22,2023-06-18,yes,micro
SanjayBhai,8,White,Blue,Blue,Hexagon,10,2023-11-09,yes,plain
Aditi Ornaments,8,Blue,Pink,Purple,Flower,2,2025-01-06,yes,plain
Shiv VipulBhai,1,Pink,Ruby,Ruby,Round,6,2023-04-04,yes,micro
Shiv VipulBhai,3,Blue,Pink,White,Marquise,18,2024-04-01,yes,plain
Shiv VipulBhai,1,Purple,Purple,Ruby,Marquise,10,2025-01-17,yes,micro
VirajBhai,2,Green,Blue,Purple,Square,26,2024-11-29,yes,micro
AshishBhai,5,Pink,Purple,White,Club,22,2024-04-02,yes,micro
MRP MukeshBhai,3,White,Green,Green,Round,22,2023-05-02,yes,plain
Shiv VipulBhai,2,Pink,Ruby,White,Round,22,2024-02-08,yes,plain
VirajBhai,2,Blue,Green,White,Square,2,2025-01-23,yes,plain
Aditi Ornaments,3,Green,Pink,Ruby,Round,6,2023-09-11,yes,micro
Shiv VipulBhai,6,Ruby,Green,Blue,Hexagon,22,2024-05-12,no,plain
AshishBhai,2,Purple,Blue,Purple,Heart,10,2024-10-25,yes,micro
VirajBhai,7,Pink,Pink,White,Star,26,2024-01-31,yes,micro
MRP MukeshBhai,6,Blue,Purple,White,Flower,14,2024-07-08,no,plain
MRP MukeshBhai,3,Green,Ruby,Ruby,Heart,6,2024-12-01,yes,plain
Shiv VipulBhai,3,Blue,Blue,Ruby,Club,6,2025-01-11,yes,micro
SanjayBhai,2,Pink,Ruby,Blue,Oval,14,2024-05-16,yes,plain
AshishBhai,2,Blue,Purple,Blue,Round,14,2023-11-25,yes,micro
AshishBhai,4,Purple,Blue,Blue,Square,6,2024-08-29,yes,micro
MRP MukeshBhai,3,Blue,Purple,White,Star,6,2024-09-15,yes,plain
AshishBhai,2,Blue,Purple,Ruby,Round,10,2023-08-05,yes,micro
VirajBhai,1,Blue,Ruby,Pink,Marquise,14,2023-10-30,yes,micro
SanjayBhai,2,Ruby,Pink,Pink,Square,18,2023-09-22,yes,micro
MRP MukeshBhai,6,Ruby,Purple,White,Heart,14,2024-03-04,no,plain
RakeshBhai,5,Purple,Ruby,Blue,Hexagon,18,2023-11-16,yes,plain
RakeshBhai,2,Blue,White,Purple,Marquise,6,2024-03-12,yes,plain
Shiv VipulBhai,2,Purple,Blue,Blue,Oval,26,2024-09-22,yes,micro
Shiv VipulBhai,2,Blue,Ruby,Blue,Round,6,2023-06-16,yes,micro
SanjayBhai,4,White,Purple,Blue,Star,10,2025-01-11,yes,micro
Aditi Ornaments,6,White,Pink,Ruby,Heart,26,2024-09-22,yes,plain
Aditi Ornaments,3,Green,Purple,Green,Club,14,2023-06-18,yes,plain
VirajBhai,6,Blue,Ruby,Purple,Flower,10,2024-08-22,yes,plain
Aditi Ornaments,6,Purple,Blue,Ruby,Flower,22,2024-01-06,yes,micro
Aditi Ornaments,2,Purple,Ruby,Ruby,Round,22,2024-02-25,yes,plain
AshishBhai,6,Blue,Pink,Purple,Hexagon,22,2024-02-01,yes,micro
Shiv VipulBhai,2,Pink,Blue,White,Heart,10,2023-12-01,yes,micro
VirajBhai,2,Purple,Pink,Green,Marquise,18,2023-08-12,yes,micro
MRP MukeshBhai,2,White,Pink,Green,Diamond,6,2023-05-23,yes,plain
VirajBhai,5,Ruby,Pink,Green,Square,26,2024-02-27,yes,micro
Shiv VipulBhai,1,Blue,Purple,Purple,Marquise,10,2023-08-25,yes,micro
AshishBhai,3,Blue,Purple,Blue,Flower,14,2024-09-29,yes,plain
VirajBhai,4,Green,White,Pink,Heart,6,2023-06-29,yes,micro
Aditi Ornaments,6,Green,Blue,Ruby,Flower,14,2024-03-01,yes,micro
MRP MukeshBhai,3,Blue,Blue,Ruby,Flower,14,2023-11-10,no,micro
VirajBhai,1,Green,Purple,Purple,Oval,26,2023-08-07,yes,micro
VirajBhai,3,Purple,Pink,Ruby,Round,18,2023-12-27,yes,micro
Shiv VipulBhai,1,Purple,Green,White,Marquise,26,2025-02-26,yes,micro
MRP MukeshBhai,3,Green,Ruby,Pink,Round,14,2024-12-01,no,micro
SanjayBhai,4,Green,Blue,Purple,Star,6,2023-08-24,no,plain
AshishBhai,6,White,Pink,Pink,Star,10,2023-09-29,yes,plain
SanjayBhai,6,Green,Pink,Pink,Flower,26,2024-05-11,yes,micro
Aditi Ornaments,3,Green,Purple,Ruby,Oval,18,2024-02-26,yes,plain
VirajBhai,3,Ruby,Green,Pink,Marquise,2,2024-05-01,yes,plain
Aditi Ornaments,8,Green,White,Ruby,Flower,6,2025-02-01,yes,micro
SanjayBhai,8,Pink,Purple,White,Star,26,2023-08-22,yes,plain
AshishBhai,3,Purple,Pink,Pink,Round,18,2024-12-17,yes,micro
VirajBhai,3,Ruby,Green,Purple,Marquise,18,2024-07-15,yes,micro
MRP MukeshBhai,2,Green,Green,Ruby,Club,22,2025-01-22,yes,micro
Aditi Ornaments,4,Purple,Blue,Green,Square,10,2024-08-02,yes,plain
SanjayBhai,8,Blue,Purple,Ruby,Star,18,2023-07-21,yes,micro
SanjayBhai,4,Green,Ruby,Purple,Club,14,2023-10-06,yes,plain
Shiv VipulBhai,2,White,Pink,White,Club,18,2023-06-03,yes,micro
AshishBhai,6,White,White,Blue,Diamond,18,2024-08-28,yes,micro
SanjayBhai,3,White,Pink,Green,Oval,2,2024-05-04,yes,micro
RakeshBhai,3,Blue,Green,Green,Round,2,2023-12-09,yes,plain
Aditi Ornaments,3,Purple,Pink,Green,Square,10,2025-02-03,yes,plain
SanjayBhai,2,Ruby,Green,Ruby,Round,22,2023-11-25,yes,plain
AshishBhai,5,Purple,Pink,Pink,Hexagon,22,2024-02-08,yes,plain
RakeshBhai,2,Purple,Purple,Blue,Round,6,2023-07-24,yes,plain
RakeshBhai,6,Ruby,Pink,Blue,Diamond,18,2023-12-26,yes,micro
Aditi Ornaments,3,Blue,White,Green,Heart,14,2024-06-17,yes,plain
SanjayBhai,3,Purple,Green,Pink,Flower,14,2023-03-21,yes,plain
Shiv VipulBhai,3,Pink,White,White,Round,10,2023-03-31,no,micro
AshishBhai,1,White,Pink,Pink,Oval,18,2023-05-02,yes,plain
AshishBhai,3,Green,Purple,Blue,Club,2,2023-04-26,yes,plain
SanjayBhai,4,Purple,White,White,Square,26,2024-03-15,yes,plain
AshishBhai,3,Pink,Blue,White,Square,22,2023-06-08,yes,plain
AshishBhai,6,White,Purple,White,Flower,2,2024-02-17,yes,plain
MRP MukeshBhai,7,Blue,Green,Purple,Star,18,2024-01-08,no,plain
Aditi Ornaments,3,Ruby,Green,Purple,Square,18,2024-04-18,yes,micro
Shiv VipulBhai,6,Green,Ruby,Blue,Flower,18,2024-01-20,yes,plain
Aditi Ornaments,4,Ruby,Blue,Blue,Square,18,2023-11-14,yes,plain
SanjayBhai,4,Ruby,Pink,Purple,Club,14,2023-11-15,yes,plain
SanjayBhai,3,Green,White,Purple,Square,2,2023-03-25,yes,plain
AshishBhai,5,White,White,White,Club,26,2024-01-17,yes,plain
Aditi Ornaments,6,Purple,Green,Purple,Square,14,2025-01-11,yes,micro
MRP MukeshBhai,8,Blue,Purple,White,Star,14,2024-01-29,yes,plain
Shiv VipulBhai,3,Blue,White,Green,Diamond,18,2024-12-01,yes,plain
SanjayBhai,3,Purple,Ruby,White,Heart,14,2024-02-21,no,plain
RakeshBhai,2,Pink,Blue,Green,Marquise,14,2024-01-01,yes,micro
Aditi Ornaments,7,Blue,Green,Purple,Hexagon,2,2024-01-24,no,plain
Shiv VipulBhai,1,Green,Green,Pink,Oval,6,2023-11-30,yes,plain
SanjayBhai,8,Purple,Blue,Green,Star,26,2024-08-27,yes,micro
VirajBhai,3,Ruby,Ruby,Ruby,Heart,6,2023-04-25,yes,micro
AshishBhai,1,Pink,Blue,Green,Marquise,6,2024-12-04,no,micro
Aditi Ornaments,3,Purple,Ruby,Green,Oval,2,2023-04-02,yes,plain
VirajBhai,3,Green,Purple,Pink,Marquise,6,2023-09-15,yes,micro
Shiv VipulBhai,4,Blue,Pink,White,Square,22,2024-02-21,yes,micro
RakeshBhai,4,Blue,Green,Pink,Heart,6,2023-12-08,no,micro
Aditi Ornaments,3,Purple,Ruby,Ruby,Diamond,22,2024-02-12,yes,micro
Aditi Ornaments,6,Green,Green,Purple,Square,6,2024-12-06,yes,micro
Shiv VipulBhai,3,Blue,White,Blue,Oval,2,2025-02-04,no,micro
AshishBhai,5,Pink,Blue,Pink,Heart,18,2023-09-20,yes,plain
Shiv VipulBhai,4,Ruby,White,Green,Flower,10,2023-03-16,yes,micro
Aditi Ornaments,6,White,Green,Ruby,Diamond,14,2023-10-29,yes,plain
Aditi Ornaments,3,Ruby,Ruby,Blue,Oval,2,2024-11-22,yes,plain
RakeshBhai,6,Purple,White,Ruby,Hexagon,26,2024-04-28,yes,plain
Shiv VipulBhai,6,Pink,White,Ruby,Diamond,10,2024-09-03,yes,micro
Aditi Ornaments,5,Pink,Green,Green,Diamond,26,2024-07-28,yes,plain
MRP MukeshBhai,8,Blue,Pink,Purple,Star,18,2023-08-16,yes,plain
SanjayBhai,2,Pink,Purple,Blue,Oval,2,2023-04-10,no,plain
Aditi Ornaments,4,Purple,Pink,Ruby,Star,14,2025-02-05,yes,plain
VirajBhai,4,Pink,Blue,Blue,Star,2,2023-06-24,yes,plain
SanjayBhai,3,Ruby,White,Green,Hexagon,14,2024-09-27,yes,plain
RakeshBhai,4,Blue,Pink,Ruby,Hexagon,14,2023-05-24,yes,plain
Shiv VipulBhai,2,Green,Purple,Blue,Marquise,14,2023-07-17,yes,plain
RakeshBhai,6,Blue,Green,Blue,Star,26,2024-11-03,yes,plain
VirajBhai,4,Blue,Blue,Pink,Square,6,2023-08-05,yes,plain
Shiv VipulBhai,3,Purple,Blue,Ruby,Flower,2,2025-02-11,yes,plain
RakeshBhai,6,White,Green,White,Flower,2,2023-08-16,no,plain
MRP MukeshBhai,5,White,Pink,Blue,Square,2,2024-06-23,yes,micro
SanjayBhai,2,Ruby,Blue,White,Square,2,2023-11-01,yes,plain
MRP MukeshBhai,6,Green,Blue,Green,Club,2,2023-05-19,no,plain
Shiv VipulBhai,3,White,Blue,Pink,Square,6,2024-08-08,no,plain
AshishBhai,3,White,Green,White,Heart,10,2024-11-28,yes,micro
Aditi Ornaments,3,White,Green,Pink,Club,18,2024-04-24,yes,plain
RakeshBhai,3,Blue,Ruby,White,Star,22,2023-05-21,yes,micro
Aditi Ornaments,1,Pink,Blue,Ruby,Round,18,2024-11-12,yes,plain
RakeshBhai,3,Ruby,Green,Ruby,Club,18,2023-12-08,no,plain
VirajBhai,1,Pink,Green,Ruby,Round,6,2023-10-01,yes,plain
SanjayBhai,2,Green,Purple,Blue,Square,14,2023-09-03,yes,plain
VirajBhai,4,White,Purple,Ruby,Club,22,2024-05-09,no,micro
RakeshBhai,5,Ruby,Pink,Ruby,Hexagon,6,2023-10-03,yes,plain
Shiv VipulBhai,2,Pink,Purple,Green,Oval,6,2024-03-28,yes,micro
Shiv VipulBhai,6,Pink,White,Blue,Square,2,2024-05-02,yes,plain
VirajBhai,3,Ruby,Blue,White,Diamond,6,2024-03-27,yes,plain
Aditi Ornaments,3,Pink,White,Purple,Oval,6,2024-04-01,yes,plain
RakeshBhai,6,Ruby,Ruby,Purple,Flower,26,2023-08-22,yes,micro
RakeshBhai,2,Green,Green,Green,Club,22,2023-08-12,yes,plain
VirajBhai,8,Blue,Purple,Ruby,Hexagon,10,2024-12-02,yes,micro
AshishBhai,2,Green,Purple,White,Heart,6,2023-10-26,yes,plain
VirajBhai,1,Ruby,Ruby,Green,Round,10,2024-05-30,yes,micro
VirajBhai,3,Ruby,Green,Green,Diamond,10,2024-04-03,yes,micro
AshishBhai,8,Pink,Blue,Blue,Star,26,2023-06-26,yes,micro
RakeshBhai,7,Ruby,Pink,Pink,Star,6,2024-03-28,yes,micro
Aditi Ornaments,5,Pink,Pink,Purple,Flower,10,2023-04-08,yes,micro
AshishBhai,1,White,Blue,Green,Marquise,22,2024-02-18,yes,plain
AshishBhai,5,Purple,Ruby,Ruby,Hexagon,26,2023-08-09,yes,micro
Shiv VipulBhai,5,Ruby,Green,Ruby,Star,26,2024-07-15,yes,micro
MRP MukeshBhai,2,Green,Blue,White,Marquise,26,2024-06-19,no,plain
VirajBhai,3,Pink,Ruby,White,Square,10,2023-09-24,yes,micro
VirajBhai,8,Purple,Purple,White,Flower,22,2023-07-12,yes,micro
VirajBhai,7,Ruby,Green,Green,Hexagon,6,2024-12-27,yes,plain
MRP MukeshBhai,4,White,Ruby,Purple,Club,2,2023-06-19,yes,plain
AshishBhai,5,White,Purple,Purple,Star,6,2025-01-21,no,micro
Shiv VipulBhai,2,Blue,Pink,Ruby,Club,10,2024-03-23,no,micro
Shiv VipulBhai,3,Blue,White,Ruby,Oval,22,2024-09-05,yes,micro
AshishBhai,5,Purple,Purple,Pink,Hexagon,22,2023-08-10,yes,micro
SanjayBhai,7,Purple,Pink,Pink,Flower,18,2023-12-17,yes,micro
Aditi Ornaments,6,Green,Blue,Green,Club,26,2024-03-15,yes,plain
RakeshBhai,3,Green,Ruby,Blue,Marquise,2,2024-05-08,no,plain
AshishBhai,4,White,Blue,Pink,Hexagon,6,2023-07-08,yes,plain
Aditi Ornaments,4,White,Blue,White,Diamond,18,2024-09-04,yes,micro
MRP MukeshBhai,3,Ruby,Purple,Purple,Star,6,2023-07-18,yes,plain
Aditi Ornaments,1,Pink,Green,Purple,Oval,2,2023-05-06,yes,micro
RakeshBhai,1,Pink,Ruby,Purple,Marquise,10,2023-09-15,no,plain
Aditi Ornaments,2,White,Blue,Purple,Marquise,22,2024-01-01,yes,micro
RakeshBhai,4,Blue,Ruby,Ruby,Diamond,6,2024-11-30,no,micro
RakeshBhai,3,Green,White,White,Flower,18,2024-07-28,yes,plain
RakeshBhai,4,Green,White,White,Club,10,2024-09-22,yes,plain
MRP MukeshBhai,1,Ruby,White,Pink,Marquise,14,2023-08-30,yes,plain
SanjayBhai,2,Green,Pink,Purple,Marquise,22,2024-09-15,yes,plain
VirajBhai,2,Green,Blue,Purple,Heart,18,2023-04-03,yes,micro
MRP MukeshBhai,2,Pink,Blue,Purple,Marquise,10,2024-03-25,yes,micro
Aditi Ornaments,2,Pink,Ruby,Ruby,Square,18,2024-08-13,yes,plain
MRP MukeshBhai,6,Purple,Pink,Purple,Star,6,2023-09-02,yes,plain
Shiv VipulBhai,3,Purple,Green,Green,Square,10,2024-08-22,no,plain
MRP MukeshBhai,3,Green,Purple,Blue,Club,10,2023-11-28,yes,micro
MRP MukeshBhai,1,Pink,Purple,Blue,Oval,26,2023-08-28,yes,micro
Shiv VipulBhai,5,Ruby,White,White,Club,26,2023-07-08,yes,plain
AshishBhai,3,Pink,Green,Purple,Club,22,2024-08-16,yes,micro
Shiv VipulBhai,3,Pink,Ruby,Ruby,Diamond,6,2025-02-06,yes,plain
Aditi Ornaments,8,White,White,Pink,Hexagon,2,2023-08-09,yes,micro
VirajBhai,4,Pink,Purple,White,Club,26,2024-09-16,yes,plain
MRP MukeshBhai,4,Ruby,Pink,Pink,Square,26,2024-03-22,yes,plain
RakeshBhai,2,Purple,Green,White,Oval,18,2023-07-12,yes,micro
SanjayBhai,5,Blue,Blue,Green,Square,26,2023-06-30,yes,plain
AshishBhai,3,Purple,Green,White,Star,2,2023-11-14,yes,plain
Shiv VipulBhai,4,Pink,Green,Purple,Hexagon,10,2024-11-26,yes,plain
AshishBhai,3,Green,Blue,White,Diamond,6,2024-06-07,yes,micro
SanjayBhai,4,Pink,Purple,Blue,Diamond,14,2024-08-20,yes,micro
Shiv VipulBhai,8,Ruby,Green,Purple,Flower,26,2025-02-26,yes,micro
VirajBhai,3,Ruby,Ruby,Ruby,Round,10,2023-04-15,yes,plain
AshishBhai,3,Blue,Ruby,Green,Square,10,2023-11-13,yes,micro
Shiv VipulBhai,1,Green,Blue,Blue,Marquise,14,2023-12-29,yes,plain
Aditi Ornaments,5,Green,Ruby,Pink,Diamond,18,2024-05-15,yes,plain
Shiv VipulBhai,3,Green,White,Pink,Oval,2,2023-12-10,yes,plain
RakeshBhai,6,Pink,Green,Purple,Star,6,2024-03-03,yes,micro
AshishBhai,3,Purple,Green,Pink,Flower,6,2024-08-19,yes,micro
MRP MukeshBhai,7,Ruby,White,Pink,Hexagon,6,2024-08-08,yes,micro
SanjayBhai,2,Pink,Purple,Purple,Oval,18,2023-09-17,yes,micro
